,Accuracy,Precision (Found),Recall (Found),F1 Score,ROC-AUC,CV F1 (5-fold),Fell Recall,Fell Precision
Logistic Regression,0.9202559300873908,0.9965022735222105,0.920665697204718,0.9570840681951793,0.9690532104757963,0.9273280808407856,0.908675799086758,0.28840579710144926
Random Forest,0.9720661672908864,0.9968584656084656,0.9741476813701729,0.9853722317561494,0.9922686516289395,0.9844095923953049,0.91324200913242,0.5555555555555556
